Department,Subject,Master Subject,Title,Level,Pre/Co-Requisites
2,2.687,2.687,Time Series Anal & Sys Ident,G,"6.011, 18.06"
2,2.688,2.688,Princ of Ocean Instrument Sys,G,"18.075, 2.671"
2,2.689,2.689,Projects in Ocean Engr,G,Permission of instructor
2,2.69,2.69,Corrosion Marine Engineering,G,"3.012, permission of instructor"
2,2.7,2.7,Precision Product Design,U,2.008
2,2.7,2.7,Princ of Naval Architecture,U,2.002
2,2.701,2.7,Princ of Naval Architecture,G,2.002
2,2.702,2.702,Sys Engr & Naval Ship Design,G,2.701
2,2.703,2.703,Principles: Naval Ship Design,G,"2.082, 2.20, 2.611, 2.702"
2,2.704,2.704,Naval Ship Conversion Design,G,2.703
2,2.705,2.705,New Naval Ship Design,G,2.704
2,2.707,2.707,Submarine Structural Acoustics,G,2.066
2,2.708,2.708,Traditional Naval Architecture,G,
2,2.71,2.71,Optics,U,"GIR:PHY2; 18.03; 2.004, 2.04A, 2.04B, or permission of instructor"
2,2.71,2.71,Optics,G,"GIR:PHY2; 18.03; 2.004, 2.04A, 2.04B, or permission of instructor"
2,2.715,2.715,Biomedical Microscopy,G,Permission of instructor
2,2.717,2.717,Optical Engineering,G,2.710 or permission of instructor
2,2.718,2.718,Photonic Materials,U,"2.003, 8.03, 6.161, or permission of instructor"
2,2.719,2.718,Photonic Materials,G,"2.003, 8.03, 6.161, or permission of instructor"
2,2.72,2.72,Elements of Mechanical Design,U,2.005 or 2.051; 2.008; [2.671]
2,2.72,2.72,Elements of Mechanical Design,G,permission of instructor
2,2.722,EC.720,D-Lab: Design,U,2.670 or permission of the instructor
2,2.723,6.902,Engr Innovation and Design,U,
2,2.729,EC.729,D-Lab: Design for Scale,U,Permission of instructor
2,2.733,2.013,Engineering Systems Design,G,"2.001; 2.003; 2.005 or 2.051; 2.670, 2.678 or 2.00B; or permission of instructor"
2,2.734,2.014,Engineering Systems Developmen,G,"2.001; 2.003; 2.005 or 2.051; 2.670, 2.678 or 2.00B; or permission of instructor"
2,2.737,2.737,Mechatronics,G,"6.002; 2.14, 6.302, or 16.30"
2,2.739,15.783,Product Design and Development,G,"2.009, 15.761, 15.778, 15.810, or permission of instructor"
2,2.74,2.74,Bio-inspired Robotics,U,2.004 or permission of instructor
2,2.74,2.74,Bio-inspired Robotics,G,2.004 or permission of instructor
2,2.744,2.744,Product Design,G,2.009
